Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Pirapemas,Todas,9º ano,Matemática,217,79.26000000000001,53.9,43.64,2.46,0,2.46,0.8100000000000001
Poção De Pedras,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,52.91,42.89,4.2,0,4.2,0.03
Porto Franco,Todas,9º ano,Matemática,332,94.28,28.94,55.13,14.74,1.19,15.93,5.57
Porto Rico Do Maranhão,Todas,9º ano,Matemática,42,100,7.14,34.12,25,33.74,58.74,52.36
Presidente Dutra,Todas,9º ano,Matemática,455,77.58,44.18,51.36,3.93,0.53,4.46,1.26
Presidente Juscelino,Todas,9º ano,Matemática,67,98.51000000000001,51.49,45.43,3.08,0,3.07,1.89
Presidente Médici,Todas,9º ano,Matemática,81,90.12,40.4,55.65,3.95,0,3.95,1.6
Presidente Sarney,Todas,9º ano,Matemática,124,88.70999999999999,63.99,36.01,0,0,0,0
Presidente Vargas,Todas,9º ano,Matemática,111,90.09,64.54000000000001,33.69,1.77,0,1.77,1.77
Primeira Cruz,Todas,9º ano,Matemática,68,91.18000000000001,75.31,24.69,0,0,0,0
Raposa,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,40.52,56.14,3.34,0,3.34,0.74
Riachão,Todas,9º ano,Matemática,284,88.38,46.46,48.92,4.62,0,4.62,3.29
Ribamar Fiquene,Todas,9º ano,Matemática,127,85.04000000000001,53.43,41.4,5.17,0,5.17,3.6
Rosário,Todas,9º ano,Matemática,457,89.72,48.3,47.39,4.07,0.24,4.31,1.24
Sambaíba,Todas,9º ano,Matemática,42,83.33,60,37.14,2.86,0,2.86,0.65
Santa Filomena Do Maranhão ,Todas,9º ano,Matemática,49,87.76000000000001,72.08,27.92,0,0,0,-5.56
Santa Helena,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,61.77,36.63,1.6,0,1.6,-0.1
Santa Inês,Todas,9º ano,Matemática,1196,84.36,52.62,44.62,2.76,0,2.76,0.57
Santa Luzia,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,47.08,48.18,4.74,0,4.74,3.06
