Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Hidrolândia,Todas,9º ano,Matemática,189,81.48,26.69,58.95,13.68,0.68,14.35,0.27
Hidrolina,Todas,9º ano,Matemática,37,91.89,8.109999999999999,59.46,29.35,3.08,32.43,10.34
Iaciara,Todas,9º ano,Matemática,118,89.83,25.17,58.2,14.82,1.81,16.63,5.31
Inaciolândia,Todas,9º ano,Matemática,101,89.11,23.88,57.9,14.68,3.54,18.22,-3.49
Indiara,Todas,9º ano,Matemática,131,90.08,36.64,52.98,8.65,1.73,10.38,-4.62
Inhumas,Todas,9º ano,Matemática,507,92.90000000000001,18.59,58.78,19.31,3.32,22.63,-0.28
Ipameri,Todas,9º ano,Matemática,301,85.70999999999999,22.66,57.32,16.71,3.31,20.02,-3.76
Ipiranga De Goiás,Todas,9º ano,Matemática,30,90,10.77,67.26000000000001,18.17,3.8,21.97,-15.65
Iporá,Todas,9º ano,Matemática,213,86.38,22.18,56.4,17.78,3.64,21.43,0.06
Israelândia,Todas,9º ano,Matemática,26,80.77,40.92,38.46,16.5,4.12,20.62,13.58
Itaberaí,Todas,9º ano,Matemática,434,89.63,24.16,55.72,17.61,2.51,20.12,0.17
Itaguari,Todas,9º ano,Matemática,91,93.41,22.35,55.3,20,2.35,22.35,3.88
Itaguaru,Todas,9º ano,Matemática,68,95.59,25.29,57.21,15.88,1.62,17.5,-2.52
Itajá,Todas,9º ano,Matemática,42,88.09999999999999,30.39,53.77,15.84,0,15.83,2.89
Itapaci,Todas,9º ano,Matemática,184,85.33,20.7,61.79,16.93,0.58,17.51,0.52
Itapirapuã,Todas,9º ano,Matemática,59,89.83,37.68,49.18,11.19,1.95,13.14,-3.12
Itapuranga,Todas,9º ano,Matemática,191,90.05,16.16,58.39,21.45,4,25.46,8.69
Itarumã,Todas,9º ano,Matemática,65,84.62,16.32,50.94,30.91,1.83,32.72,16.57
Itauçu,Todas,9º ano,Matemática,57,80.7,23.44,58.63,13.61,4.32,17.93,5.29
Itumbiara,Todas,9º ano,Matemática,728,92.31,19.55,61.71,16.82,1.92,18.74,-4.14
Ivolândia,Todas,9º ano,Matemática,20,100,20,55,15,10,25,-5
Jandaia,Todas,9º ano,Matemática,49,79.59,29.29,51.45,19.26,0,19.27,10.81
Jaraguá,Todas,9º ano,Matemática,467,89.72,19.46,60.03,17.87,2.64,20.51,0.88
Jataí,Todas,9º ano,Matemática,856,86.68000000000001,17.84,58.88,20.62,2.66,23.28,0.03
Jaupaci,Todas,9º ano,Matemática,50,78,17.42,58.38,17.44,6.76,24.2,2.65
Jesúpolis,Todas,9º ano,Matemática,37,86.48999999999999,24.43,42.03,30.65,2.89,33.54,8.4
Joviânia,Todas,9º ano,Matemática,106,84.91,19.65,39.49,31.73,9.130000000000001,40.87,23.79
Jussara,Todas,9º ano,Matemática,239,89.95999999999999,17.92,53.34,23.09,5.65,28.74,2.12
Lagoa Santa,Todas,9º ano,Matemática,31,100,22.58,48.39,25.81,3.22,29.03,3.22
Leopoldo De Bulhões,Todas,9º ano,Matemática,65,92.31,19.6,61.77,18.63,0,18.63,-4.28
Luziânia,Todas,9º ano,Matemática,2606,88.68000000000001,24.84,60.62,13.26,1.28,14.54,4.42
Mairipotaba,Todas,9º ano,Matemática,30,100,6.67,63.57,26.66,3.1,29.77,14.6
Mambaí,Todas,9º ano,Matemática,101,91.09,24.05,59.81,12.9,3.24,16.14,8.970000000000001
