Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Iati,Todas,9º ano,Matemática,256,69.14,34.22,55.79,9.550000000000001,0.44,9.99,4.61
Ibimirim,Todas,9º ano,Matemática,155,92.26000000000001,26.52,56.12,17.36,0,17.36,5.32
Ibirajuba,Todas,9º ano,Matemática,117,80.34,32.02,55.2,11.55,1.23,12.77,7.76
Igarassu,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,43.91,52.8,3.29,0,3.29,0.01
Iguaraci,Todas,9º ano,Matemática,127,91.34,33.73,59.59,5.87,0.8100000000000001,6.69,-5.13
Ilha De Itamaracá,Todas,9º ano,Matemática,237,81.43000000000001,37.4,58.82,3.18,0.6,3.78,1.41
Inajá,Todas,9º ano,Matemática,221,68.33,38.4,50.77,9.33,1.5,10.83,5
Ingazeira,Todas,9º ano,Matemática,58,98.28,24.87,64.72,10.41,0,10.41,6.77
Ipojuca,Todas,9º ano,Matemática,1190,83.78,46.45,49.88,3.67,0,3.67,1.73
Ipubi,Todas,9º ano,Matemática,512,88.87,37.19,53.79,7.78,1.24,9.029999999999999,3.99
Itacuruba,Todas,9º ano,Matemática,70,84.29000000000001,31.16,53.66,15.18,0,15.19,2.71
Itaíba,Todas,9º ano,Matemática,272,80.51000000000001,44.22,47.86,7.92,0,7.92,5.3
Itambé,Todas,9º ano,Matemática,497,84.70999999999999,46.68,47.99,5.33,0,5.33,0.82
Itapetim,Todas,9º ano,Matemática,142,83.8,35.22,58.01,6.77,0,6.77,-6.92
Itapissuma,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,56.45,42.13,1.42,0,1.42,-0.73
Itaquitinga,Todas,9º ano,Matemática,211,86.73,46.95,51.47,1.58,0,1.58,1.58
Jaboatão Dos Guararapes,Todas,9º ano,Matemática,5113,84.94,37.84,54.71,6.99,0.46,7.44,3.6
Jaqueira,Todas,9º ano,Matemática,105,73.33,51.94,43.99,4.07,0,4.07,0.99
Jataúba,Todas,9º ano,Matemática,170,78.23999999999999,38.06,57.11,4.83,0,4.83,-0.92
Jatobá,Todas,9º ano,Matemática,77,96.09999999999999,37.53,51.47,9.6,1.4,11,4.54
João Alfredo,Todas,9º ano,Matemática,171,90.06,27.4,57.96,11.72,2.92,14.64,8.289999999999999
Joaquim Nabuco,Todas,9º ano,Matemática,184,85.87,39.16,53.3,7.54,0,7.54,2.27
Jucati,Todas,9º ano,Matemática,165,94.55,14.33,47.97,33.21,4.49,37.7,23.47
Jupi,Todas,9º ano,Matemática,146,89.73,13.61,58.77,22.8,4.82,27.62,13.09
Jurema,Todas,9º ano,Matemática,220,93.64,38.78,54.44,6.38,0.4,6.78,3.08
Lagoa Do Carro,Todas,9º ano,Matemática,195,93.84999999999999,48.98,47.79,3.23,0,3.23,0.07000000000000001
Lagoa Do Itaenga,Todas,9º ano,Matemática,267,68.54000000000001,52.04,44.27,3.69,0,3.69,0.96
Lagoa Do Ouro,Todas,9º ano,Matemática,152,82.89,29.94,58.83,9.76,1.47,11.23,5.32
Lagoa Dos Gatos,Todas,9º ano,Matemática,187,87.7,33.55,56.04,9.84,0.57,10.42,6.74
Lagoa Grande,Todas,9º ano,Matemática,220,93.18000000000001,37.23,56.47,5.37,0.93,6.3,-2.32
Lajedo,Todas,9º ano,Matemática,418,94.5,28.41,54.28,16.63,0.68,17.31,13.05
Limoeiro,Todas,9º ano,Matemática,633,89.09999999999999,32.3,55.73,10.93,1.04,11.97,4.07
Macaparana,Todas,9º ano,Matemática,197,90.86,47.4,47.72,4.88,0,4.88,1.97
Machados,Todas,9º ano,Matemática,105,91.43000000000001,46.2,48.91,4.89,0,4.89,0.62
Manari,Todas,9º ano,Matemática,278,73.02,59.35,39.09,1.56,0,1.56,1.56
Maraial,Todas,9º ano,Matemática,110,86.36,45.85,53.11,1.04,0,1.04,-2.24
Mirandiba,Todas,9º ano,Matemática,248,93.15000000000001,36.67,54.69,7.85,0.79,8.630000000000001,4.86
Moreilândia,Todas,9º ano,Matemática,187,89.3,31.95,47.43,16.66,3.96,20.63,10.64
Moreno,Todas,9º ano,Matemática,593,79.59999999999999,60.85,37.43,1.54,0.18,1.72,-1.35
Nazaré Da Mata,Todas,9º ano,Matemática,411,91,33.14,47.22,15.46,4.18,19.64,10.6
Olinda,Todas,9º ano,Matemática,3251,79.27,44.8,50.08,4.85,0.27,5.12,1.72
Orobó,Todas,9º ano,Matemática,141,92.2,45.64,43.35,9.44,1.57,11.01,-4.95
Orocó,Todas,9º ano,Matemática,125,83.2,55.1,42.16,2.74,0,2.74,1.51
Ouricuri,Todas,9º ano,Matemática,642,88.94,40.67,52.19,6.91,0.23,7.14,1.21
Palmares,Todas,9º ano,Matemática,536,86.01000000000001,33.08,56.93,9.35,0.64,9.99,4.07
Palmeirina,Todas,9º ano,Matemática,119,82.34999999999999,55.89,40.28,3.83,0,3.83,3.13
Panelas,Todas,9º ano,Matemática,266,90.23,39.16,55.41,5.05,0.38,5.42,-3.38
Paranatama,Todas,9º ano,Matemática,156,94.23,30.53,57.3,12.17,0,12.17,4.71
Parnamirim,Todas,9º ano,Matemática,275,90.18000000000001,34.18,51.42,12.1,2.3,14.4,7.7
Passira,Todas,9º ano,Matemática,387,84.5,38.61,54,6.5,0.89,7.39,-1.06
Paudalho,Todas,9º ano,Matemática,530,87.17,43.13,52.28,4.38,0.21,4.59,1.79
Paulista,Todas,9º ano,Matemática,2257,85.02,40.45,52.94,6.36,0.25,6.61,0.62
Pedra,Todas,9º ano,Matemática,129,79.06999999999999,32.5,60.45,7.05,0,7.05,2.66
Pesqueira,Todas,9º ano,Matemática,502,93.63,30.66,55.18,13.47,0.6899999999999999,14.16,9.27
Petrolândia,Todas,9º ano,Matemática,321,90.97,39.01,54.03,6.96,0,6.97,-1.41
Petrolina,Todas,9º ano,Matemática,3006,88.76000000000001,20.89,59.67,16.59,2.85,19.44,7.27
Poção,Todas,9º ano,Matemática,163,93.25,27.25,59.79,12.96,0,12.96,5.66
Pombos,Todas,9º ano,Matemática,133,66.92,50.91,49.09,0,0,0,-3.53
Primavera,Todas,9º ano,Matemática,146,90.41,43.2,44.37,6.89,5.54,12.43,12.43
Quipapá,Todas,9º ano,Matemática,177,67.23,48.43,45.26,5.68,0.63,6.31,4.1
Quixaba,Todas,9º ano,Matemática,72,91.67,13.9,48.37,32.74,4.99,37.72,11.19
Recife,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,36.02,54.95,7.47,1.56,9.029999999999999,0.78
Riacho Das Almas,Todas,9º ano,Matemática,121,82.64,47.21,50.74,2.05,0,2.05,-3.38
