Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
São Luís Do Quitunde,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
São Miguel Dos Campos,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,33.9,59.61,5.84,0.65,6.49,1.89
São Miguel Dos Milagres,Todas,9º ano,Matemática,55,76.36,49.76,50.24,0,0,0,0
São Sebastião,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,45.47,53.47,1.06,0,1.07,-3.71
Satuba,Todas,9º ano,Matemática,142,87.31999999999999,46.58,50.75,2.67,0,2.67,2.04
Senador Rui Palmeira,Todas,9º ano,Matemática,145,86.20999999999999,48.7,50.55,0.75,0,0.74,-1.05
Tanque D'arca,Todas,9º ano,Matemática,114,77.19,63.21,36.79,0,0,0,0
Taquarana,Todas,9º ano,Matemática,252,67.06,37.61,51.81,10.06,0.52,10.58,5.24
Teotônio Vilela,Todas,9º ano,Matemática,651,88.17,35.43,55.35,8.33,0.89,9.220000000000001,6.75
Traipu,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,47.17,43.88,7.01,1.94,8.949999999999999,6.15
União Dos Palmares,Todas,9º ano,Matemática,795,77.86,46.69,47.73,5.38,0.2,5.58,2.29
Viçosa,Todas,9º ano,Matemática,337,74.78,51.34,44.48,3.85,0.33,4.18,2.16
