Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Joaquim Pires,Todas,9º ano,Matemática,136,90.44,45.92,42.52,11.56,0,11.56,1.02
Joca Marques,Todas,9º ano,Matemática,52,86.54000000000001,38.42,55.47,4.08,2.03,6.11,1.83
José De Freitas,Todas,9º ano,Matemática,455,88.34999999999999,47.67,49.65,2.46,0.22,2.68,0.02
Juazeiro Do Piauí,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Júlio Borges,Todas,9º ano,Matemática,56,83.93000000000001,63.97,36.03,0,0,0,-3.34
Jurema,Todas,9º ano,Matemática,26,80.77,38.08,52.38,9.539999999999999,0,9.539999999999999,0
Lagoa Alegre,Todas,9º ano,Matemática,77,92.20999999999999,39.42,52.12,5.64,2.82,8.449999999999999,6.6
Lagoa De São Francisco,Todas,9º ano,Matemática,45,97.78,34.23,63.47,2.3,0,2.3,-3.81
Lagoa Do Barro Do Piauí,Todas,9º ano,Matemática,69,95.65000000000001,33.4,62.08,4.52,0,4.52,2.36
Lagoa Do Piauí,Todas,9º ano,Matemática,39,87.18000000000001,14.71,76.48,8.81,0,8.81,8.81
Lagoa Do Sítio,Todas,9º ano,Matemática,52,94.23,54.96,42.97,2.07,0,2.07,2.07
Lagoinha Do Piauí,Todas,9º ano,Matemática,32,93.75,23.34,66.67,9.99,0,9.99,2.3
Landri Sales,Todas,9º ano,Matemática,21,100,27.28,72.72,0,0,0,0
Luís Correia,Todas,9º ano,Matemática,213,73.70999999999999,44.35,51.29,4.36,0,4.36,3.12
Luzilândia,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,37.56,56.88,5.56,0,5.56,0.8
Madeiro,Todas,9º ano,Matemática,73,84.93000000000001,51.77,45.16,3.07,0,3.07,1.75
Manoel Emídio,Todas,9º ano,Matemática,84,91.67,38.02,50.94,11.04,0,11.04,1.91
Marcolândia,Todas,9º ano,Matemática,164,90.23999999999999,51.77,43.7,4.53,0,4.53,1.55
Marcos Parente,Todas,9º ano,Matemática,51,72.55,40.56,54.07,2.62,2.75,5.37,-10.85
Massapê Do Piauí,Todas,9º ano,Matemática,34,94.12,28.13,65.63,6.24,0,6.24,4.05
Matias Olímpio,Todas,9º ano,Matemática,174,81.61,59.43,35.41,5.16,0,5.16,2.15
Miguel Alves,Todas,9º ano,Matemática,206,85.44,51.04,46.33,2.63,0,2.64,1.95
Miguel Leão,Todas,9º ano,Matemática,23,95.65000000000001,31.83,63.62,4.55,0,4.55,-0.44
Milton Brandão,Todas,9º ano,Matemática,28,85.70999999999999,45.84,50,4.16,0,4.16,-0.88
Monsenhor Gil,Todas,9º ano,Matemática,71,94.37,34.69,51.67,10.52,3.12,13.64,2.83
Monsenhor Hipólito,Todas,9º ano,Matemática,55,87.27,16.59,62.51,18.91,1.99,20.9,3.09
Monte Alegre Do Piauí,Todas,9º ano,Matemática,51,92.16,56.27,43.73,0,0,0,-0.57
Morro Cabeça No Tempo,Todas,9º ano,Matemática,32,100,75,25,0,0,0,0
