Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Sertãozinho,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,39.14,52.68,8.18,0,8.18,3.69
Sobrado,Todas,9º ano,Matemática,103,85.44,44.46,52.04,2.33,1.17,3.5,2.14
Solânea,Todas,9º ano,Matemática,298,81.20999999999999,43.55,50.22,5.48,0.75,6.23,2.83
Soledade,Todas,9º ano,Matemática,195,78.45999999999999,37.1,56.24,6.15,0.51,6.66,-1.65
Sossêgo,Todas,9º ano,Matemática,30,83.33,32.01,47.99,16.01,3.99,20,20
Sousa,Todas,9º ano,Matemática,531,80.79000000000001,38.11,54.07,7.39,0.43,7.82,1.07
Sumé,Todas,9º ano,Matemática,195,81.03,43.8,52.33,2.63,1.24,3.87,1.46
Tacima,Todas,9º ano,Matemática,50,88,46.46,42,11.54,0,11.54,9.109999999999999
Taperoá,Todas,9º ano,Matemática,118,72.88,31.81,57.86,8.48,1.85,10.32,-0.24
Tavares,Todas,9º ano,Matemática,96,92.70999999999999,47.25,48.27,4.48,0,4.48,-1.83
Teixeira,Todas,9º ano,Matemática,191,85.34,43.57,51.39,5.04,0,5.04,2.82
Tenório,Todas,9º ano,Matemática,37,83.78,32.7,57.8,9.5,0,9.5,5.96
Triunfo,Todas,9º ano,Matemática,75,82.67,58.18,38.55,3.27,0,3.27,1.03
Uiraúna,Todas,9º ano,Matemática,114,86.84,56.85,42.19,0.96,0,0.95,-1.13
Umbuzeiro,Todas,9º ano,Matemática,80,80,51.42,45.54,3.04,0,3.05,0.36
Várzea,Todas,9º ano,Matemática,29,96.55,17.87,53.58,21.42,7.13,28.57,13.73
Vieirópolis,Todas,9º ano,Matemática,21,85.70999999999999,61.1,27.77,5.56,5.57,11.13,5.46
Vista Serrana,Todas,9º ano,Matemática,41,90.23999999999999,35.09,56.82,8.09,0,8.08,4.26
Zabelê,Todas,9º ano,Matemática,46,86.95999999999999,55.9,41.82,2.28,0,2.28,-2.29
