Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Porto Nacional,Todas,9º ano,Matemática,567,80.95,42.63,50.97,5.98,0.42,6.41,-1.99
Praia Norte,Todas,9º ano,Matemática,89,80.90000000000001,40.01,54.41,5.58,0,5.58,0.9
Presidente Kennedy,Todas,9º ano,Matemática,66,84.84999999999999,34.82,53.7,11.48,0,11.48,9.67
Pugmil,Todas,9º ano,Matemática,30,83.33,32,56,12,0,12,9.57
Recursolândia,Todas,9º ano,Matemática,42,100,44.17,46.64,9.19,0,9.19,5.96
Riachinho,Todas,9º ano,Matemática,50,88,44,56,0,0,0,-1.77
Rio Da Conceição,Todas,9º ano,Matemática,27,88.89,29.18,66.67,4.15,0,4.15,-13.87
Rio Dos Bois,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Rio Sono,Todas,9º ano,Matemática,51,88.23999999999999,46.65,46.68,6.67,0,6.67,4.71
Sampaio,Todas,9º ano,Matemática,62,77.42,43.95,51.89,4.16,0,4.16,-4.82
Sandolândia,Todas,9º ano,Matemática,52,78.84999999999999,37.93,52.74,9.33,0,9.33,7.52
Santa Fé Do Araguaia,Todas,9º ano,Matemática,98,91.84,49.76,42.18,8.06,0,8.06,5.34
Santa Maria Do Tocantins,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Santa Rita Do Tocantins,Todas,9º ano,Matemática,26,84.62,9.08,81.84,9.08,0,9.08,-0.92
Santa Rosa Do Tocantins,Todas,9º ano,Matemática,58,98.28,56.28,33.2,8.789999999999999,1.73,10.52,0.52
Santa Tereza Do Tocantins ,Todas,9º ano,Matemática,37,81.08,36.49,56.92,6.59,0,6.59,1.5
Santa Terezinha Do Tocantins,Todas,9º ano,Matemática,28,89.29000000000001,40,48,12,0,12,4.6
São Bento Do Tocantins,Todas,9º ano,Matemática,71,74.65000000000001,46.31,51.44,2.25,0,2.25,0.95
São Félix Do Tocantins,Todas,9º ano,Matemática,40,60,45.82,50,4.18,0,4.18,2.02
São Miguel Do Tocantins  ,Todas,9º ano,Matemática,49,85.70999999999999,38.37,56.43,5.2,0,5.2,-4.58
São Salvador Do Tocantins ,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
São Sebastião Do Tocantins,Todas,9º ano,Matemática,69,63.77,45.77,42.61,11.62,0,11.62,11.62
São Valério Da Natividade,Todas,9º ano,Matemática,39,100,10.03,65.03,22.38,2.56,24.95,5.25
Silvanópolis,Todas,9º ano,Matemática,70,85.70999999999999,43.75,51.39,4.86,0,4.86,2.65
Sítio Novo Do Tocantins,Todas,9º ano,Matemática,102,87.25,49.94,45.95,4.11,0,4.11,-1.81
Sucupira,Todas,9º ano,Matemática,22,90.91,30,65,5,0,5,-4.09
Taguatinga,Todas,9º ano,Matemática,231,84.42,37.16,56.96,5.37,0.51,5.88,-6.48
Taipas Do Tocantins,Todas,9º ano,Matemática,43,86.05,45.55,45.55,8.9,0,8.91,-1.26
Talismã,Todas,9º ano,Matemática,26,76.92,25,40,35,0,35,16.82
Tocantínia,Todas,9º ano,Matemática,60,83.33,45.96,46.05,7.99,0,7.99,0.14
Tocantinópolis,Todas,9º ano,Matemática,337,84.56999999999999,34.19,59.99,5.47,0.35,5.81,-2.04
Tupirama,Todas,9º ano,Matemática,26,92.31,25,58.35,16.65,0,16.65,16.65
Tupiratins,Todas,9º ano,Matemática,46,73.91,59.78,33.7,6.52,0,6.52,6.52
Wanderlândia,Todas,9º ano,Matemática,103,74.76000000000001,39.33,50.34,10.33,0,10.33,7.32
Xambioá,Todas,9º ano,Matemática,174,89.08,37.32,54.74,7.29,0.65,7.94,2.53
