Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Novo São Joaquim,Todas,9º ano,Matemática,50,76,34.21,55.42,10.37,0,10.37,7.08
Paranaíta,Todas,9º ano,Matemática,124,84.68000000000001,24.76,58.75,15.6,0.89,16.5,9.74
Paranatinga,Todas,9º ano,Matemática,257,79.77,39.51,49.77,10.27,0.45,10.72,4.27
Pedra Preta,Todas,9º ano,Matemática,223,76.68000000000001,34.33,58.6,7.07,0,7.06,0.9399999999999999
Peixoto De Azevedo,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,43.49,49.52,6.99,0,6.98,2.53
Planalto Da Serra,Todas,9º ano,Matemática,28,64.29000000000001,16.66,77.77,5.57,0,5.57,-8.57
Poconé,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,56.02,41.21,1.88,0.89,2.78,0.03
Pontal Do Araguaia,Todas,9º ano,Matemática,66,77.27,35.31,58.94,5.75,0,5.75,-1.99
Ponte Branca,Todas,9º ano,Matemática,26,80.77,38.09,42.86,19.05,0,19.05,19.05
Pontes E Lacerda,Todas,9º ano,Matemática,536,86.56999999999999,31.58,55.54,11.67,1.21,12.88,4.87
Porto Alegre Do Norte,Todas,9º ano,Matemática,144,89.58,45.95,49.44,4.61,0,4.61,0.63
Porto Dos Gaúchos,Todas,9º ano,Matemática,70,90,33.85,50.3,11.04,4.81,15.85,9.18
Porto Esperidião,Todas,9º ano,Matemática,96,71.88,40.29,49.02,5.95,4.74,10.69,2.07
Porto Estrela,Todas,9º ano,Matemática,51,78.43000000000001,57.06,35.01,7.93,0,7.93,6.57
Poxoréo,Todas,9º ano,Matemática,198,80.81,33.43,57.24,8.75,0.58,9.33,2.74
Primavera Do Leste,Todas,9º ano,Matemática,807,81.78,30.6,56.42,11.53,1.45,12.98,-1.54
Querência,Todas,9º ano,Matemática,213,86.84999999999999,40.37,48,11.18,0.45,11.63,0.61
Reserva Do Cabaçal,Todas,9º ano,Matemática,31,80.65000000000001,36.84,59.65,3.51,0,3.51,-11.11
Ribeirão Cascalheira,Todas,9º ano,Matemática,109,75.23,41.77,46.58,10.41,1.24,11.64,-3.58
Ribeirãozinho,Todas,9º ano,Matemática,37,83.78,28.37,40.55,28.38,2.7,31.07,23.68
Rio Branco,Todas,9º ano,Matemática,68,77.94,22.37,58.34,15.18,4.11,19.29,3.53
Rondolândia,Todas,9º ano,Matemática,33,81.81999999999999,25.94,70.37,3.69,0,3.69,0.11
Rondonópolis,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,33.36,53.63,11.6,1.41,13.01,2.24
Rosário Oeste,Todas,9º ano,Matemática,187,79.68000000000001,52.07,44.51,3.42,0,3.42,0.43
Salto Do Céu,Todas,9º ano,Matemática,64,84.38,29.84,57.34,12.82,0,12.81,3.31
Santa Carmem,Todas,9º ano,Matemática,47,87.23,21.82,65.77,12.41,0,12.41,6.15
Santa Cruz Do Xingu,Todas,9º ano,Matemática,22,95.45,33.32,57.15,9.529999999999999,0,9.539999999999999,5.53
Santa Rita Do Trivelato,Todas,9º ano,Matemática,28,100,22.26,53.23,18.09,6.42,24.51,10.76
Santa Terezinha,Todas,9º ano,Matemática,50,74,38.21,59.29,2.5,0,2.5,-1.55
Santo Afonso,Todas,9º ano,Matemática,23,78.26000000000001,44.44,44.44,11.12,0,11.12,6.12
Santo Antônio Do Leste,Todas,9º ano,Matemática,53,73.58,47.02,46.16,6.82,0,6.82,0.02
Santo Antônio Do Leverger,Todas,9º ano,Matemática,135,88.15000000000001,46.33,47.74,5.03,0.9,5.93,4.79
São Félix Do Araguaia,Todas,9º ano,Matemática,83,98.8,55.04,40.34,4.62,0,4.62,3.87
São José Do Povo,Todas,9º ano,Matemática,28,67.86,26.33,63.15,10.52,0,10.52,-8.01
São José Do Rio Claro,Todas,9º ano,Matemática,222,78.38,33.91,51.22,14.36,0.51,14.87,4.91
São José Do Xingu,Todas,9º ano,Matemática,50,88,59.58,37.92,2.5,0,2.5,2.5
São José Dos Quatro Marcos,Todas,9º ano,Matemática,220,85.91,30.51,58.3,11.19,0,11.19,1.99
São Pedro Da Cipa,Todas,9º ano,Matemática,54,100,40.59,54.38,5.03,0,5.03,3.12
Sapezal,Todas,9º ano,Matemática,285,75.79000000000001,26.14,61.95,11.91,0,11.91,1.66
Sinop,Todas,9º ano,Matemática,1811,75.65000000000001,34.98,53.48,11.01,0.53,11.54,2.63
Sorriso,Todas,9º ano,Matemática,882,72.56,33.62,53.19,12.04,1.15,13.19,2.27
Tabaporã,Todas,9º ano,Matemática,122,79.51000000000001,37.32,45.89,15.87,0.92,16.79,8.960000000000001
Tangará Da Serra,Todas,9º ano,Matemática,1072,92.72,26.15,58.94,13.07,1.84,14.91,4.38
Tapurah,Todas,9º ano,Matemática,151,75.5,38.68,49.19,11.05,1.08,12.13,-2.34
Terra Nova Do Norte,Todas,9º ano,Matemática,59,77.97,38.6,55.24,6.16,0,6.16,-0.84
Torixoréu,Todas,9º ano,Matemática,28,78.56999999999999,22.72,63.65,13.63,0,13.63,11.39
União Do Sul,Todas,9º ano,Matemática,71,100,39.08,51.11,9.81,0,9.81,6.06
Vale De São Domingos,Todas,9º ano,Matemática,57,77.19,35.21,60.02,4.77,0,4.77,-7.82
Várzea Grande,Todas,9º ano,Matemática,3434,71.90000000000001,43.79,51.01,4.86,0.34,5.2,0.46
Vera,Todas,9º ano,Matemática,94,85.11,43.22,50.63,4.99,1.16,6.15,0.66
Vila Bela Da Santíssima Trindade,Todas,9º ano,Matemática,122,65.56999999999999,48.11,47.06,4.83,0,4.83,-1.36
Vila Rica,Todas,9º ano,Matemática,176,77.27,41.79,44.51,13.7,0,13.7,8.470000000000001
