Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Cerro Azul,Todas,9º ano,Matemática,206,68.93000000000001,54.7,43.09,2.21,0,2.22,-2.49
Céu Azul,Todas,9º ano,Matemática,117,72.65000000000001,29.97,59.95,10.08,0,10.08,-15.61
Chopinzinho,Todas,9º ano,Matemática,26,76.92,30,60.01,9.99,0,9.98,-6.55
Cianorte,Todas,9º ano,Matemática,815,82.09,22.36,60.34,15.71,1.59,17.3,0.23
Cidade Gaúcha,Todas,9º ano,Matemática,157,66.23999999999999,37.04,53.5,7.6,1.86,9.460000000000001,-2.6
Clevelândia,Todas,9º ano,Matemática,299,64.55,36.36,59.55,4.09,0,4.09,-0.74
Colombo,Todas,9º ano,Matemática,2169,71.88,36.61,56.02,6.93,0.44,7.37,-2.11
Colorado,Todas,9º ano,Matemática,252,78.97,26.46,56.3,14.73,2.51,17.25,-4.4
Congonhinhas,Todas,9º ano,Matemática,70,77.14,20.26,68.70999999999999,11.03,0,11.03,8.59
Conselheiro Mairinck,Todas,9º ano,Matemática,50,90,39.82,60.18,0,0,0,-16.14
Contenda,Todas,9º ano,Matemática,95,60,43.22,49.03,6.29,1.46,7.75,-0.93
Corbélia,Todas,9º ano,Matemática,159,88.68000000000001,22.48,59.46,18.06,0,18.06,-3.26
Cornélio Procópio,Todas,9º ano,Matemática,396,86.62,27.89,60.45,11.38,0.28,11.66,-1.56
Coronel Domingos Soares,Todas,9º ano,Matemática,55,74.55,57.79,34.59,7.62,0,7.63,3.36
Coronel Vivida,Todas,9º ano,Matemática,252,76.59,24.91,60.85,13.82,0.42,14.24,0.08
Corumbataí Do Sul,Todas,9º ano,Matemática,70,94.29000000000001,31.75,62.4,5.85,0,5.85,-1.85
Cruz Machado,Todas,9º ano,Matemática,338,84.31999999999999,27.63,60.68,10.94,0.75,11.68,1.6
Cruzeiro Do Iguaçu,Todas,9º ano,Matemática,49,69.39,5.89,52.97,38.19,2.95,41.15,5.09
Cruzeiro Do Oeste,Todas,9º ano,Matemática,187,95.19,22.21,56.29,19.85,1.65,21.5,4.45
Cruzeiro Do Sul,Todas,9º ano,Matemática,55,72.73,41.22,51.35,7.43,0,7.43,-7.53
Cruzmaltina,Todas,9º ano,Matemática,37,100,24.85,67.59,4.97,2.59,7.56,0.89
Curitiba,Todas,9º ano,Matemática,18651,79.45,20.51,59.89,17.2,2.4,19.59,3.29
Curiúva,Todas,9º ano,Matemática,207,72.45999999999999,39.96,53.69,6.35,0,6.35,0.5
Diamante D'oeste,Todas,9º ano,Matemática,60,75,8.890000000000001,71.11,20,0,20,1.99
Diamante Do Norte,Todas,9º ano,Matemática,76,82.89,38.04,56.1,5.86,0,5.86,-2.07
Diamante Do Sul,Todas,9º ano,Matemática,43,83.72,55.55,41.62,2.83,0,2.83,-13.5
Dois Vizinhos,Todas,9º ano,Matemática,382,83.51000000000001,10.71,55.08,31.67,2.54,34.22,10
Douradina,Todas,9º ano,Matemática,73,89.04000000000001,27.99,57.02,14.99,0,14.99,1.39
Doutor Camargo,Todas,9º ano,Matemática,57,73.68000000000001,28.4,47.55,21.63,2.42,24.05,6.42
Doutor Ulysses,Todas,9º ano,Matemática,69,66.67,46.44,47.51,6.05,0,6.05,2.42
Enéas Marques,Todas,9º ano,Matemática,66,90.91,13.36,58.33,21.65,6.66,28.31,9.460000000000001
Engenheiro Beltrão,Todas,9º ano,Matemática,122,87.7,32.52,56.24,11.24,0,11.24,0.43
Entre Rios Do Oeste,Todas,9º ano,Matemática,67,88.06,14.97,66.45,12.01,6.57,18.6,-11.67
Esperança Nova,Todas,9º ano,Matemática,32,81.25,38.46,53.84,7.7,0,7.71,-5.64
Espigão Alto Do Iguaçu,Todas,9º ano,Matemática,49,87.76000000000001,18.73,55.15,23.92,2.2,26.15,6.48
Farol,Todas,9º ano,Matemática,60,78.33,29.98,61.5,8.52,0,8.52,1.27
Faxinal,Todas,9º ano,Matemática,220,69.55,39.09,55.73,5.18,0,5.18,-1.22
Fazenda Rio Grande,Todas,9º ano,Matemática,1655,78.61,26.26,61.44,11.84,0.46,12.3,5.67
Fênix,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Fernandes Pinheiro,Todas,9º ano,Matemática,68,82.34999999999999,17.83,56.72,23.85,1.6,25.45,5.8
Figueira,Todas,9º ano,Matemática,127,81.89,38.05,57.81,4.14,0,4.14,-1.99
Flor Da Serra Do Sul,Todas,9º ano,Matemática,65,83.08,20.51,57.25,22.24,0,22.24,-13.14
Floraí,Todas,9º ano,Matemática,45,93.33,19.1,52.39,26.05,2.46,28.51,16.41
Floresta,Todas,9º ano,Matemática,88,88.64,22.09,60.43,12.24,5.24,17.49,16.01
Florestópolis,Todas,9º ano,Matemática,139,63.31,37.08,55.39,7.53,0,7.54,2.12
Flórida,Todas,9º ano,Matemática,40,85,14.48,71.05,8.880000000000001,5.59,14.48,-1.6
Formosa Do Oeste,Todas,9º ano,Matemática,51,68.63,30.86,57.2,11.94,0,11.94,-4.62
Foz Do Iguaçu,Todas,9º ano,Matemática,3492,74,22.7,58.4,17.05,1.85,18.89,2.45
Foz Do Jordão,Todas,9º ano,Matemática,90,70,28.31,61.99,8.17,1.53,9.699999999999999,6.82
Francisco Alves,Todas,9º ano,Matemática,38,92.11,28.56,57.15,11.43,2.86,14.29,-6.95
Francisco Beltrão,Todas,9º ano,Matemática,850,77.53,17.11,56.21,23.7,2.98,26.67,5.8
General Carneiro,Todas,9º ano,Matemática,94,72.34,47.05,47.08,4.34,1.53,5.86,2.29
Godoy Moreira,Todas,9º ano,Matemática,30,90,37.04,55.54,7.42,0,7.42,0.96
Goioerê,Todas,9º ano,Matemática,303,80.2,29.3,56.67,12.97,1.06,14.03,3.99
