Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Ciríaco,Todas,9º ano,Matemática,26,88.45999999999999,13.06,69.55,17.39,0,17.4,2.57
Colinas,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Condor,Todas,9º ano,Matemática,33,87.88,31.05,62.9,6.05,0,6.05,-16.61
Constantina,Todas,9º ano,Matemática,104,74.04000000000001,15.21,47.5,34.79,2.5,37.29,25.17
Coqueiros Do Sul,Todas,9º ano,Matemática,20,65,38.46,46.15,15.39,0,15.38,0
Coronel Barros,Todas,9º ano,Matemática,23,100,13.03,56.53,30.44,0,30.44,23.26
Coronel Bicaco,Todas,9º ano,Matemática,28,85.70999999999999,29.18,58.33,12.49,0,12.48,-6.43
Cotiporã,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Coxilha,Todas,9º ano,Matemática,23,56.52,46.16,46.16,7.68,0,7.69,-5.33
Crissiumal,Todas,9º ano,Matemática,88,88.64,9.01,61.47,28.38,1.14,29.52,6.7
Cristal,Todas,9º ano,Matemática,22,86.36,31.59,63.14,5.27,0,5.27,-2.7
Cruz Alta,Todas,9º ano,Matemática,398,76.88,27.55,58.99,12.88,0.58,13.46,5.78
Cruzaltense,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Cruzeiro Do Sul,Todas,9º ano,Matemática,64,82.81,23.05,66.45,10.5,0,10.5,-10.74
David Canabarro,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Derrubadas,Todas,9º ano,Matemática,42,88.09999999999999,10.49,67.66,21.85,0,21.85,14.45
Dilermando De Aguiar,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Dois Irmãos,Todas,9º ano,Matemática,263,88.97,15.16,56.92,24.73,3.19,27.91,-12.13
Dois Irmãos Das Missões,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Dois Lajeados,Todas,9º ano,Matemática,20,95,5.25,57.92,31.58,5.25,36.84,-10.21
Dom Feliciano,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Dom Pedrito,Todas,9º ano,Matemática,210,65.23999999999999,40.89,52.7,5.08,1.33,6.41,0.76
Dona Francisca,Todas,9º ano,Matemática,27,62.96,23.53,76.47,0,0,0,-29.85
Doutor Maurício Cardoso,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Eldorado Do Sul,Todas,9º ano,Matemática,221,81,18.39,70.72,10.38,0.51,10.89,0.74
Encantado,Todas,9º ano,Matemática,102,78.43000000000001,8.970000000000001,64.52,22.75,3.76,26.52,-4.21
Encruzilhada Do Sul,Todas,9º ano,Matemática,184,71.2,19.5,62.24,18.26,0,18.26,3.45
Engenho Velho,Todas,9º ano,Matemática,26,88.45999999999999,30.43,60.89,8.68,0,8.68,5.23
Entre-Ijuís,Todas,9º ano,Matemática,40,92.5,21.92,62.17,15.91,0,15.91,2.19
Erebango,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Erechim,Todas,9º ano,Matemática,690,82.90000000000001,18.12,57.39,21.25,3.24,24.49,-1.97
Ernestina,Todas,9º ano,Matemática,20,75,33.33,59.98,6.69,0,6.69,0.71
Erval Grande,Todas,9º ano,Matemática,27,70.37,10.54,68.42,15.79,5.25,21.05,5.72
Erval Seco,Todas,9º ano,Matemática,32,90.63,10.95,74.47,14.58,0,14.58,-3.38
Esmeralda,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Espumoso,Todas,9º ano,Matemática,92,79.34999999999999,15.31,60.3,21.76,2.63,24.4,-12.27
Estação,Todas,9º ano,Matemática,53,67.92,23.7,60.17,13.93,2.2,16.13,6.69
Estância Velha,Todas,9º ano,Matemática,428,87.84999999999999,15.15,58.87,22.47,3.51,25.98,9.19
Esteio,Todas,9º ano,Matemática,689,75.47,23.85,61.77,13.17,1.21,14.38,-0.96
Estrela,Todas,9º ano,Matemática,141,77.3,15.98,58.38,24.05,1.59,25.64,1.23
Estrela Velha,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Eugênio De Castro,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Fagundes Varela,Todas,9º ano,Matemática,28,89.29000000000001,24,59.99,16.01,0,16.01,-14.01
Farroupilha,Todas,9º ano,Matemática,524,82.63,11.51,47.29,34.26,6.94,41.2,17.08
Faxinal Do Soturno,Todas,9º ano,Matemática,43,76.73999999999999,25.22,58.52,16.26,0,16.26,-7.77
Faxinalzinho,Todas,9º ano,Matemática,23,69.56999999999999,50,50,0,0,0,-15.6
Fazenda Vilanova,Todas,9º ano,Matemática,46,100,10.53,79.12,10.35,0,10.36,-26.43
Feliz,Todas,9º ano,Matemática,62,83.87,9.65,38.82,43.07,8.460000000000001,51.53,-0.77
Flores Da Cunha,Todas,9º ano,Matemática,130,88.45999999999999,6.98,51.57,33.87,7.58,41.45,2.87
Floriano Peixoto,Todas,9º ano,Matemática,24,83.33,14.99,45,40.01,0,39.99,20.14
Fontoura Xavier,Todas,9º ano,Matemática,33,84.84999999999999,25.32,53.89,20.79,0,20.79,15.89
Formigueiro,Todas,9º ano,Matemática,58,67.23999999999999,49.66,41.9,6.84,1.6,8.460000000000001,-6.89
Forquetinha,Todas,9º ano,Matemática,27,100,0,81.47,18.53,0,18.53,0
Fortaleza Dos Valos,Todas,9º ano,Matemática,25,88,22.72,68.17,9.109999999999999,0,9.109999999999999,-16.06
Frederico Westphalen,Todas,9º ano,Matemática,135,71.11,18.72,62.65,15.76,2.87,18.64,-7.07
Garibaldi,Todas,9º ano,Matemática,230,86.09,9.09,52.29,30.81,7.81,38.62,14.26
Gaurama,Todas,9º ano,Matemática,47,91.48999999999999,4.63,69.83,23.29,2.25,25.52,-5.71
General Câmara,Todas,9º ano,Matemática,29,93.09999999999999,30.45,63.8,5.75,0,5.75,-15.45
Getúlio Vargas,Todas,9º ano,Matemática,121,80.17,24.92,58.81,15.32,0.95,16.27,6.45
Giruá,Todas,9º ano,Matemática,96,88.54000000000001,19.96,68.47,9.300000000000001,2.27,11.58,-2.27
Glorinha,Todas,9º ano,Matemática,20,80,68.75,31.25,0,0,0,-7.63
Gramado,Todas,9º ano,Matemática,301,84.72,15.7,54.17,27.39,2.74,30.12,2.08
Gramado Xavier,Todas,9º ano,Matemática,26,96.15000000000001,52.02,43.99,3.99,0,4,1.09
Gravataí,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,26.33,61.87,11.08,0.72,11.81,3.57
Guaíba,Todas,9º ano,Matemática,927,82.31,21.15,64.31999999999999,13.18,1.35,14.53,0.85
Guaporé,Todas,9º ano,Matemática,196,89.8,18.07,60.41,19.63,1.89,21.52,1.16
Guarani Das Missões,Todas,9º ano,Matemática,54,90.73999999999999,32.98,46.75,20.27,0,20.27,-0.62
Harmonia,Todas,9º ano,Matemática,41,87.8,0,60.51,21.56,17.93,39.49,-10.65
Herval,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,33.35,61.09,5.56,0,5.56,-2.55
Horizontina,Todas,9º ano,Matemática,96,92.70999999999999,14.54,71.79000000000001,13.67,0,13.67,-10.78
Hulha Negra,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Humaitá,Todas,9º ano,Matemática,43,86.05,5.39,50.94,43.67,0,43.66,6.74
