Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Pedranópolis,Todas,9º ano,Matemática,39,92.31,22.69,60.96,10.97,5.38,16.36,-7.78
Pedregulho,Todas,9º ano,Matemática,229,79.48,33.2,49.92,13.43,3.45,16.88,5.64
Pedreira,Todas,9º ano,Matemática,549,86.34,21.96,58.72,16.43,2.89,19.32,3.5
Pedrinhas Paulista,Todas,9º ano,Matemática,37,100,25.35,54.03,18.05,2.57,20.65,-0.72
Pedro De Toledo,Todas,9º ano,Matemática,173,88.44,37.57,54.38,7.41,0.64,8.050000000000001,3.13
Penápolis,Todas,9º ano,Matemática,546,87.55,27.79,59.47,12.37,0.37,12.73,1.03
Pereira Barreto,Todas,9º ano,Matemática,272,94.84999999999999,16.78,56.93,22.96,3.33,26.29,10.59
Pereiras,Todas,9º ano,Matemática,87,86.20999999999999,28.24,60.1,11.66,0,11.67,-3.13
Peruíbe,Todas,9º ano,Matemática,1028,81.31999999999999,31.26,54.17,13.95,0.62,14.57,2.9
Piacatu,Todas,9º ano,Matemática,87,86.20999999999999,14.7,53.72,20.74,10.84,31.59,10.54
Piedade,Todas,9º ano,Matemática,370,86.48999999999999,29.1,55.19,13.62,2.09,15.72,-1.65
Pilar Do Sul,Todas,9º ano,Matemática,429,80.42,18.76,56.48,19.97,4.79,24.76,5.12
Pindamonhangaba,Todas,9º ano,Matemática,2137,88.72,25.46,54.68,16.88,2.98,19.86,3.74
Pindorama,Todas,9º ano,Matemática,158,88.61,11.94,50.49,30.93,6.64,37.58,12.81
Pinhalzinho,Todas,9º ano,Matemática,196,79.59,37.51,51.34,8.539999999999999,2.61,11.15,-5.73
Piquerobi,Todas,9º ano,Matemática,29,100,17.24,41.38,27.59,13.79,41.38,22.73
Piquete,Todas,9º ano,Matemática,145,81.38,30.8,52.92,15.47,0.8100000000000001,16.28,0.57
Piracaia,Todas,9º ano,Matemática,274,87.23,18.37,52.18,25.23,4.22,29.44,7
Piracicaba,Todas,9º ano,Matemática,3690,82.06,25.36,53.96,17.58,3.1,20.68,7.2
Piraju,Todas,9º ano,Matemática,409,83.86,20.95,56.13,19.73,3.19,22.91,-1.84
Pirajuí,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,26.26,51.21,16.78,5.75,22.53,10.91
Pirangi,Todas,9º ano,Matemática,89,87.64,22.9,40.31,30.81,5.98,36.79,31.47
Pirapora Do Bom Jesus,Todas,9º ano,Matemática,283,81.63,35.09,56.61,8.300000000000001,0,8.300000000000001,3.44
Pirapozinho,Todas,9º ano,Matemática,383,84.06999999999999,25.1,55.5,16.8,2.6,19.4,2.46
Pirassununga,Todas,9º ano,Matemática,590,81.36,19.81,57.65,18.45,4.09,22.54,-0.04
Piratininga,Todas,9º ano,Matemática,139,69.78,43.96,51.39,4.65,0,4.65,-1.19
Pitangueiras,Todas,9º ano,Matemática,481,80.04000000000001,31.14,55.85,11.67,1.34,13,-1.92
Planalto,Todas,9º ano,Matemática,86,90.7,41.94,41.59,13.97,2.5,16.48,2.33
Platina,Todas,9º ano,Matemática,51,84.31,30.21,54.44,13.21,2.14,15.33,5.84
Poá,Todas,9º ano,Matemática,2087,83.90000000000001,27.92,53.83,15.43,2.82,18.25,6.89
Poloni,Todas,9º ano,Matemática,71,88.73,13.65,58.65,26.2,1.5,27.7,4.59
Pompéia,Todas,9º ano,Matemática,249,86.34999999999999,32.8,54.97,10.42,1.81,12.23,-8.970000000000001
Pongaí,Todas,9º ano,Matemática,46,80.43000000000001,26.36,60.2,7.96,5.48,13.43,-6.63
Pontal,Todas,9º ano,Matemática,659,85.13,32.35,53.91,12.85,0.89,13.73,4.28
Pontalinda,Todas,9º ano,Matemática,40,92.5,19,59.12,19,2.88,21.88,12.56
Pontes Gestal,Todas,9º ano,Matemática,37,91.89,26.51,64.66,8.83,0,8.84,2.15
Populina,Todas,9º ano,Matemática,56,89.29000000000001,12,46,28,14,42,11.3
Porangaba,Todas,9º ano,Matemática,122,91.8,27.09,48.77,21.6,2.54,24.14,4.04
Porto Feliz,Todas,9º ano,Matemática,635,82.05,27.55,53.26,17,2.19,19.19,-0.47
Porto Ferreira,Todas,9º ano,Matemática,398,76.38,30.66,56.88,11.26,1.2,12.46,-0.3
Potim,Todas,9º ano,Matemática,258,83.72,23.99,64.62,10.37,1.02,11.39,1.63
Potirendaba,Todas,9º ano,Matemática,171,87.13,9.42,53.48,32.51,4.59,37.1,2.84
Pracinha,Todas,9º ano,Matemática,26,92.31,29.15,50,20.85,0,20.85,8.85
Pradópolis,Todas,9º ano,Matemática,187,91.98,30.97,60.51,8.52,0,8.52,-8.68
Praia Grande,Todas,9º ano,Matemática,3828,80.41,22.78,60.12,15.45,1.65,17.1,2.42
Pratânia,Todas,9º ano,Matemática,119,85.70999999999999,30.59,49.15,19.26,1,20.26,4.7
Presidente Alves,Todas,9º ano,Matemática,41,82.93000000000001,32.05,58.97,8.98,0,8.98,4.71
Presidente Bernardes,Todas,9º ano,Matemática,78,87.18000000000001,28.83,53.07,16.55,1.55,18.1,5.34
Presidente Epitácio,Todas,9º ano,Matemática,486,77.98,27.08,55.7,15.61,1.61,17.22,8.51
Presidente Prudente,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,28.81,56.68,12.58,1.93,14.52,0.9
Presidente Venceslau,Todas,9º ano,Matemática,391,86.19,25.07,48.95,23.84,2.14,25.98,2.39
Promissão,Todas,9º ano,Matemática,453,76.59999999999999,32.63,53.28,12.59,1.5,14.09,3.23
Quadra,Todas,9º ano,Matemática,69,92.75,25.17,60.96,10.88,2.99,13.87,-11.15
Quatá,Todas,9º ano,Matemática,154,84.42,28.22,58.64,12.49,0.65,13.14,6.27
Queiroz,Todas,9º ano,Matemática,50,98,34.87,52.87,12.26,0,12.26,8.380000000000001
Queluz,Todas,9º ano,Matemática,134,74.63,28.94,62.21,7.95,0.9,8.85,-2.35
Quintana,Todas,9º ano,Matemática,85,90.59,31.67,54.3,12.75,1.28,14.05,7.04
Rafard,Todas,9º ano,Matemática,123,91.87,20.33,52.13,22.21,5.33,27.53,9.4
Rancharia,Todas,9º ano,Matemática,341,90.31999999999999,23.77,58.07,16.53,1.63,18.16,0.2
Redenção Da Serra,Todas,9º ano,Matemática,79,93.67,24.64,50.29,23.77,1.3,25.06,12.13
Regente Feijó,Todas,9º ano,Matemática,248,87.5,21.96,56.2,18.65,3.19,21.84,2.94
Reginópolis,Todas,9º ano,Matemática,69,63.77,36.67,45.98,15.35,2,17.35,12.64
Registro,Todas,9º ano,Matemática,647,86.55,28.71,56.45,13.63,1.21,14.84,-1.36
Restinga,Todas,9º ano,Matemática,127,88.98,30.95,55.74,13.31,0,13.31,5.85
Ribeira,Todas,9º ano,Matemática,49,81.63,37.51,55.02,5,2.47,7.47,1.81
Ribeirão Bonito,Todas,9º ano,Matemática,160,86.88,38.36,52.08,9.56,0,9.56,6.3
Ribeirão Branco,Todas,9º ano,Matemática,309,88.03,29.45,55.21,11.86,3.48,15.34,3.19
Ribeirão Corrente,Todas,9º ano,Matemática,76,96.05,21.71,61.79,12.2,4.3,16.51,-0.28
Ribeirão Do Sul,Todas,9º ano,Matemática,54,75.93000000000001,24.24,65.65000000000001,10.11,0,10.11,-24.36
Ribeirão Grande,Todas,9º ano,Matemática,102,59.8,17.69,67.65000000000001,9.98,4.68,14.66,1.85
Ribeirão Pires,Todas,9º ano,Matemática,1463,86.53,22.75,56.18,19.09,1.98,21.07,4.24
Ribeirão Preto,Todas,9º ano,Matemática,5771,83.11,26.04,55.13,16.46,2.37,18.83,5.6
Rifaina,Todas,9º ano,Matemática,69,86.95999999999999,29.99,56.62,8.35,5.04,13.39,-1.33
Rincão,Todas,9º ano,Matemática,136,88.97,40.71,51.96,7.33,0,7.32,1.26
Rinópolis,Todas,9º ano,Matemática,86,87.20999999999999,26.43,57.06,12.94,3.57,16.51,-1.63
Rio Claro,Todas,9º ano,Matemática,550,83.09,39.65,49.61,8.84,1.9,10.74,-8.02
Rio Das Pedras,Todas,9º ano,Matemática,410,86.09999999999999,27.91,54.62,15.56,1.91,17.47,-3.78
Rio Grande Da Serra,Todas,9º ano,Matemática,625,85.44,29.14,54.79,14.02,2.05,16.06,6.02
Riolândia,Todas,9º ano,Matemática,127,81.09999999999999,40.49,52.73,6.78,0,6.78,4.81
Riversul,Todas,9º ano,Matemática,61,85.25,18.6,53.75,27.65,0,27.66,5.02
Rosana,Todas,9º ano,Matemática,231,77.06,26.53,58.08,14.77,0.62,15.39,3.87
Roseira,Todas,9º ano,Matemática,130,87.69,18.29,56.87,23.06,1.78,24.84,9.210000000000001
Rubiácea,Todas,9º ano,Matemática,35,85.70999999999999,19.43,43.43,33.71,3.43,37.14,22.63
Rubinéia,Todas,9º ano,Matemática,50,90,11.06,57.84,26.66,4.44,31.1,-2.53
Sabino,Todas,9º ano,Matemática,83,69.88,25.92,54.2,18.12,1.76,19.88,9.779999999999999
Sagres,Todas,9º ano,Matemática,35,85.70999999999999,18.65,56.84,24.51,0,24.51,21.67
Sales,Todas,9º ano,Matemática,95,84.20999999999999,19.22,57.29,23.49,0,23.49,1.78
Sales Oliveira,Todas,9º ano,Matemática,115,89.56999999999999,27.06,58.22,12.73,1.99,14.71,0.65
Salesópolis,Todas,9º ano,Matemática,262,87.02,20.21,53.86,20.08,5.85,25.93,4.8
Salmourão,Todas,9º ano,Matemática,74,78.38,41.03,47.98,10.99,0,10.99,5.08
Saltinho,Todas,9º ano,Matemática,115,90.43000000000001,19.25,54.87,20.53,5.35,25.88,-4.35
Salto,Todas,9º ano,Matemática,1422,82.34999999999999,28.72,53.63,15.72,1.93,17.65,-1.03
Salto De Pirapora,Todas,9º ano,Matemática,614,83.39,25.96,54.56,16.96,2.52,19.48,2.04
Salto Grande,Todas,9º ano,Matemática,147,88.44,27.48,53.96,15.47,3.09,18.56,-4.29
Sandovalina,Todas,9º ano,Matemática,82,82.93000000000001,13.4,66.18000000000001,20.42,0,20.41,7.04
Santa Adélia,Todas,9º ano,Matemática,137,97.08,16.61,61.78,20.15,1.46,21.6,4.09
Santa Albertina,Todas,9º ano,Matemática,54,88.89,24.46,53.99,15.4,6.15,21.54,9.34
Santa Bárbara D'oeste,Todas,9º ano,Matemática,1918,84.93000000000001,19.34,56.22,21.08,3.36,24.44,5.03
Santa Branca,Todas,9º ano,Matemática,157,76.43000000000001,29.36,49.74,17.49,3.41,20.9,3.59
Santa Clara D'oeste,Todas,9º ano,Matemática,27,85.19,26.07,56.52,17.41,0,17.41,-0.76
Santa Cruz Da Conceição,Todas,9º ano,Matemática,73,79.45,19.9,60.81,16.15,3.14,19.29,-2.13
