Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Januário Cicco,Todas,9º ano,Matemática,82,79.27,41.34,54.51,4.15,0,4.15,1.11
Japi,Todas,9º ano,Matemática,77,81.81999999999999,51.7,48.3,0,0,0,0
Jardim De Angicos,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Jardim De Piranhas,Todas,9º ano,Matemática,104,85.58,33.5,61.96,3.37,1.17,4.54,-3.51
Jardim Do Seridó,Todas,9º ano,Matemática,100,87,16.39,59.94,21.67,2,23.67,17.08
João Câmara,Todas,9º ano,Matemática,299,70.56999999999999,48.83,46.09,4.64,0.44,5.09,2.34
João Dias,Todas,9º ano,Matemática,26,84.62,45.46,54.54,0,0,0,0
José Da Penha,Todas,9º ano,Matemática,51,94.12,50.2,40.14,7.84,1.82,9.67,0.77
Jucurutu,Todas,9º ano,Matemática,165,86.06,42.51,53.41,3.44,0.64,4.08,0.12
Jundiá,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Lagoa D'anta,Todas,9º ano,Matemática,83,71.08,63.45,33.21,1.67,1.67,3.35,0.5600000000000001
Lagoa De Pedras,Todas,9º ano,Matemática,51,92.16,27.78,53.12,19.1,0,19.1,15.4
Lagoa De Velhos,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Lagoa Nova,Todas,9º ano,Matemática,142,79.58,43.39,50.23,5.43,0.95,6.38,1.5
Lagoa Salgada,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,38.57,58.24,3.19,0,3.19,-6.14
Lajes,Todas,9º ano,Matemática,75,84,36.64,56.95,6.41,0,6.41,-1.46
Lajes Pintadas,Todas,9º ano,Matemática,59,84.75,49.37,46.32,4.31,0,4.31,2.28
Lucrécia,Todas,9º ano,Matemática,37,91.89,35.3,55.89,8.81,0,8.81,-2.3
Luís Gomes,Todas,9º ano,Matemática,71,76.06,28.07,60.9,11.03,0,11.03,6.76
Macaíba,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,34.34,56.82,8.23,0.61,8.84,5.22
Macau,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,52.93,40.95,4.66,1.46,6.13,1.1
Major Sales,Todas,9º ano,Matemática,30,70,52.37,38.1,9.529999999999999,0,9.529999999999999,0
Marcelino Vieira,Todas,9º ano,Matemática,99,83.84,22.16,62.35,14.26,1.23,15.49,6.21
Martins,Todas,9º ano,Matemática,63,84.13,40.92,57.41,1.67,0,1.67,-3.59
Maxaranguape,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,46.68,51.44,1.88,0,1.88,-3.89
Messias Targino,Todas,9º ano,Matemática,60,83.33,46.03,49.95,4.02,0,4.02,1.44
Montanhas,Todas,9º ano,Matemática,123,84.55,29.63,64.61,5.76,0,5.76,1.77
Monte Alegre,Todas,9º ano,Matemática,121,78.51000000000001,39.33,55.72,4.16,0.79,4.95,0.05
Monte Das Gameleiras,Todas,9º ano,Matemática,49,89.8,63.57,36.43,0,0,0,0
Mossoró,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,28.45,58.14,11.99,1.42,13.41,3.09
Natal,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,36.84,53.7,8.800000000000001,0.66,9.460000000000001,0.5
Nísia Floresta,Todas,9º ano,Matemática,249,77.51000000000001,50.02,47.9,2.08,0,2.08,-3.57
Nova Cruz,Todas,9º ano,Matemática,409,73.59,34.92,53.94,10.58,0.5600000000000001,11.13,8.390000000000001
Olho-D'água Do Borges,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Ouro Branco,Todas,9º ano,Matemática,64,93.75,26.38,51.46,20.72,1.44,22.17,-14.2
Paraná,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,66.06999999999999,28.48,5.45,0,5.45,5.45
Paraú,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,22.22,70.38,7.4,0,7.41,1.34
Parazinho,Todas,9º ano,Matemática,31,67.73999999999999,14.29,71.42,14.29,0,14.29,9.02
Parelhas,Todas,9º ano,Matemática,221,82.34999999999999,18.18,64,16.81,1.01,17.82,1.2
Parnamirim,Todas,9º ano,Matemática,1869,77.31,34.33,55.62,9.31,0.74,10.05,-0.87
Passa E Fica,Todas,9º ano,Matemática,90,87.78,39.2,54.8,6,0,6,5.32
Passagem,Todas,9º ano,Matemática,29,89.66,50,42.31,7.69,0,7.69,7.69
Patu,Todas,9º ano,Matemática,80,86.25,38.33,60.06,1.61,0,1.61,-3.68
Pau Dos Ferros,Todas,9º ano,Matemática,243,72.02,35.28,53.82,9.720000000000001,1.18,10.9,3.43
Pedra Grande,Todas,9º ano,Matemática,30,80,41.67,45.83,12.5,0,12.5,7.8
Pedra Preta,Todas,9º ano,Matemática,44,63.64,65.91,34.09,0,0,0,-2.23
Pedro Avelino,Todas,9º ano,Matemática,43,60.47,27.23,67.23999999999999,5.53,0,5.53,5.53
Pedro Velho,Todas,9º ano,Matemática,122,82.79000000000001,40.21,52.92,6.87,0,6.87,1.99
Pendências,Todas,9º ano,Matemática,81,75.31,35.51,61.7,2.79,0,2.79,1.42
Pilões,Todas,9º ano,Matemática,25,96,49.98,37.51,12.51,0,12.52,1.41
Poço Branco,Todas,9º ano,Matemática,165,84.23999999999999,56.76,41.94,1.3,0,1.3,0.72
Portalegre,Todas,9º ano,Matemática,42,80.95,42.66,27.86,21.93,7.55,29.48,29.48
Porto Do Mangue,Todas,9º ano,Matemática,34,79.41,44.44,48.15,3.7,3.71,7.41,3.25
Presidente Juscelino,Todas,9º ano,Matemática,45,73.33,30.3,63.63,6.07,0,6.07,3.08
Pureza,Todas,9º ano,Matemática,85,76.47,51.19,47.07,1.74,0,1.74,-1.36
Rafael Fernandes,Todas,9º ano,Matemática,29,86.20999999999999,36,56,8,0,8,-3.08
Rafael Godeiro,Todas,9º ano,Matemática,50,72,24,53.22,22.78,0,22.78,19.75
Riacho Da Cruz,Todas,9º ano,Matemática,27,88.89,41.68,54.17,4.15,0,4.15,0
Riacho De Santana,Todas,9º ano,Matemática,44,93.18000000000001,19.52,63.41,17.07,0,17.07,11.01
Riachuelo,Todas,9º ano,Matemática,76,92.11,38,57.75,4.25,0,4.25,-4.91
Rio Do Fogo,Todas,9º ano,Matemática,52,78.84999999999999,52.85,44.46,2.69,0,2.69,1.34
Rodolfo Fernandes,Todas,9º ano,Matemática,32,96.88,32.26,61.3,6.44,0,6.44,3.26
Ruy Barbosa,Todas,9º ano,Matemática,43,97.67,45.2,45.4,9.4,0,9.4,6.75
Santa Cruz,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,47.92,49.61,2.47,0,2.46,0.07000000000000001
Santa Maria,Todas,9º ano,Matemática,37,89.19,45.7,54.3,0,0,0,0
Santana Do Matos,Todas,9º ano,Matemática,109,64.22,44.46,44.94,10.6,0,10.6,-2.55
Santana Do Seridó,Todas,9º ano,Matemática,42,90.48,16.07,67.86,13.69,2.38,16.07,-8.93
Santo Antônio,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,33.38,59.37,6.34,0.91,7.26,-1.06
São Bento Do Norte,Todas,9º ano,Matemática,53,96.23,31.4,62.81,5.79,0,5.79,-5.15
São Bento Do Trairí,Todas,9º ano,Matemática,59,81.36,46.84,46.89,6.27,0,6.27,-4.44
São Fernando,Todas,9º ano,Matemática,28,89.29000000000001,12,68,20,0,20,11.91
São Francisco Do Oeste,Todas,9º ano,Matemática,23,100,36,64,0,0,0,0
São Gonçalo Do Amarante,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,43.38,50.8,5.82,0,5.82,1.98
São João Do Sabugi,Todas,9º ano,Matemática,65,83.08,13.01,50.5,22.14,14.35,36.48,14.58
São José De Mipibu,Todas,9º ano,Matemática,226,75.22,40,54.07,4.85,1.08,5.93,2.62
São José Do Campestre,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,45.3,53.42,1.28,0,1.28,-0.48
São José Do Seridó,Todas,9º ano,Matemática,42,73.81,38.69,48.4,9.619999999999999,3.29,12.9,-0.79
São Miguel,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,34.69,57.1,6.56,1.65,8.210000000000001,-3.66
São Miguel Do Gostoso,Todas,9º ano,Matemática,94,74.47,37.19,55.71,7.1,0,7.1,0.39
São Paulo Do Potengi,Todas,9º ano,Matemática,236,80.08,44.28,52.06,3.66,0,3.66,1.15
São Pedro,Todas,9º ano,Matemática,62,79.03,55.69,41.81,2.5,0,2.5,-0.9399999999999999
São Rafael,Todas,9º ano,Matemática,92,79.34999999999999,57.69,37.93,3.13,1.25,4.37,0.6899999999999999
São Tomé,Todas,9º ano,Matemática,109,84.40000000000001,57.61,39.07,3.32,0,3.32,2.4
São Vicente,Todas,9º ano,Matemática,58,82.76000000000001,20.94,73.06,6,0,6,-3.07
Senador Elói De Souza,Todas,9º ano,Matemática,31,96.77,30.42,62.9,6.68,0,6.68,1.55
Senador Georgino Avelino,Todas,9º ano,Matemática,55,58.18,56.25,40.62,3.13,0,3.13,-4.58
Serra De São Bento,Todas,9º ano,Matemática,67,67.16,26.78,65.34,6.3,1.58,7.88,3.07
Serra Do Mel,Todas,9º ano,Matemática,116,73.28,38.06,55.02,5.84,1.08,6.92,6.03
Serra Negra Do Norte,Todas,9º ano,Matemática,74,95.95,45.16,43.58,8.449999999999999,2.81,11.26,0.01
Serrinha,Todas,9º ano,Matemática,84,83.33,43.21,52.61,4.18,0,4.18,0.46
Serrinha Dos Pintos,Todas,9º ano,Matemática,45,84.44,21.97,62.88,15.15,0,15.16,6.64
Severiano Melo,Todas,9º ano,Matemática,68,89.70999999999999,34,61.01,4.99,0,4.99,-8.24
Sítio Novo,Todas,9º ano,Matemática,26,80.77,61.92,38.08,0,0,0,0
Taboleiro Grande,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Taipu,Todas,9º ano,Matemática,115,67.83,48.41,44.96,6.63,0,6.63,6.01
Tangará,Todas,9º ano,Matemática,148,79.05,56.07,40.39,2.77,0.77,3.54,0.03
Tenente Ananias,Todas,9º ano,Matemática,84,69.05,56.23,43.77,0,0,0,-1.49
Tenente Laurentino Cruz,Todas,9º ano,Matemática,50,98,47.88,42.24,9.880000000000001,0,9.880000000000001,3.73
Tibau,Todas,9º ano,Matemática,37,89.19,24.24,69.69,6.07,0,6.07,1.73
Tibau Do Sul,Todas,9º ano,Matemática,84,91.67,39.19,54.66,4.92,1.23,6.14,-2.16
Timbaúba Dos Batistas,Todas,9º ano,Matemática,27,96.3,46.15,34.63,19.22,0,19.22,19.22
Touros,Todas,9º ano,Matemática,181,65.75,35.53,54.44,9.17,0.86,10.02,7.24
Triunfo Potiguar,Todas,9º ano,Matemática,32,71.88,21.75,73.91,4.34,0,4.34,1.84
Umarizal,Todas,9º ano,Matemática,105,60,58.34,40.12,1.54,0,1.54,-3.79
Upanema,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,33.89,48.87,17.24,0,17.24,-5.28
Várzea,Todas,9º ano,Matemática,49,69.39,34.61,52.92,12.47,0,12.47,7.74
Venha-Ver,Todas,9º ano,Matemática,41,90.23999999999999,40.54,51.34,5.41,2.71,8.1,0
Vera Cruz,Todas,9º ano,Matemática,89,83.15000000000001,37.95,50.37,10.24,1.44,11.67,6.73
Viçosa,Todas,9º ano,Matemática,27,96.3,15.37,69.22,7.7,7.71,15.37,9.859999999999999
Vila Flor,Todas,9º ano,Matemática,35,82.86,37.63,55.91,6.46,0,6.46,4.85
