"Questao";"Opcao";"Proficiencia";"Porcentagem"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou a 8.ª série/9.º ano, mas não completou o Ensino Médio.";"Insuficiente";"0.205128205128205"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou a 8.ª série/9.º ano, mas não completou o Ensino Médio.";"Basico";"0.116923076923077"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou a 8.ª série/9.º ano, mas não completou o Ensino Médio.";"Proficiente";"0.137931034482759"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou a 8.ª série/9.º ano, mas não completou o Ensino Médio.";"Avançado";"0.126865671641791"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou o Ensino Médio, mas não completou a Faculdade.";"Insuficiente";"0.0512820512820513"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou o Ensino Médio, mas não completou a Faculdade.";"Basico";"0.190769230769231"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou o Ensino Médio, mas não completou a Faculdade.";"Proficiente";"0.241379310344828"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou o Ensino Médio, mas não completou a Faculdade.";"Avançado";"0.291044776119403"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou a Faculdade.";"Insuficiente";"0.0512820512820513"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou a Faculdade.";"Basico";"0.0984615384615385"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou a Faculdade.";"Proficiente";"0.148541114058355"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Completou a Faculdade.";"Avançado";"0.164179104477612"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Não sei.";"Insuficiente";"0.256410256410256"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Não sei.";"Basico";"0.181538461538462"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Não sei.";"Proficiente";"0.106100795755968"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"Não sei.";"Avançado";"0.0970149253731343"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"NI";"Insuficiente";"0"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"NI";"Basico";"0"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"NI";"Proficiente";"0.00530503978779841"
"19 - Até que série sua mãe, ou a mulher responsável por você, estudou?";"NI";"Avançado";"0.0149253731343284"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Nunca estudou.";"Insuficiente";"0.0256410256410256"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Nunca estudou.";"Basico";"0.00307692307692308"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Nunca estudou.";"Proficiente";"0.0026525198938992"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Nunca estudou.";"Avançado";"0.00746268656716418"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Não completou a 4.ª série/5.º ano.";"Insuficiente";"0.0769230769230769"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Não completou a 4.ª série/5.º ano.";"Basico";"0.178461538461538"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Não completou a 4.ª série/5.º ano.";"Proficiente";"0.122015915119363"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Não completou a 4.ª série/5.º ano.";"Avançado";"0.0970149253731343"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano.";"Insuficiente";"0.282051282051282"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano.";"Basico";"0.224615384615385"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano.";"Proficiente";"0.212201591511936"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano.";"Avançado";"0.216417910447761"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou a 8.ª série/9.º ano, mas não completou o Ensino Médio.";"Insuficiente";"0.205128205128205"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou a 8.ª série/9.º ano, mas não completou o Ensino Médio.";"Basico";"0.113846153846154"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou a 8.ª série/9.º ano, mas não completou o Ensino Médio.";"Proficiente";"0.161803713527851"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou a 8.ª série/9.º ano, mas não completou o Ensino Médio.";"Avançado";"0.0895522388059701"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou o Ensino Médio, mas não completou a Faculdade.";"Insuficiente";"0.102564102564103"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou o Ensino Médio, mas não completou a Faculdade.";"Basico";"0.147692307692308"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou o Ensino Médio, mas não completou a Faculdade.";"Proficiente";"0.188328912466843"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou o Ensino Médio, mas não completou a Faculdade.";"Avançado";"0.253731343283582"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou a Faculdade.";"Insuficiente";"0.0256410256410256"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou a Faculdade.";"Basico";"0.0553846153846154"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou a Faculdade.";"Proficiente";"0.10079575596817"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Completou a Faculdade.";"Avançado";"0.141791044776119"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Não sei.";"Insuficiente";"0.282051282051282"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Não sei.";"Basico";"0.243076923076923"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Não sei.";"Proficiente";"0.204244031830239"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"Não sei.";"Avançado";"0.17910447761194"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"NI";"Insuficiente";"0"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"NI";"Basico";"0.0338461538461538"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"NI";"Proficiente";"0.00795755968169761"
"23 - Até que série seu pai, ou o homem responsável por você, estudou?";"NI";"Avançado";"0.0149253731343284"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"Sempre ou quase sempre.";"Insuficiente";"0.435897435897436"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"Sempre ou quase sempre.";"Basico";"0.486153846153846"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"Sempre ou quase sempre.";"Proficiente";"0.596816976127321"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"Sempre ou quase sempre.";"Avançado";"0.582089552238806"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"De vez em quando.";"Insuficiente";"0.538461538461538"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"De vez em quando.";"Basico";"0.393846153846154"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"De vez em quando.";"Proficiente";"0.320954907161804"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"De vez em quando.";"Avançado";"0.328358208955224"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"Nunca ou quase nunca.";"Insuficiente";"0.0256410256410256"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"Nunca ou quase nunca.";"Basico";"0.0892307692307692"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"Nunca ou quase nunca.";"Proficiente";"0.0742705570291777"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"Nunca ou quase nunca.";"Avançado";"0.0671641791044776"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"NI";"Insuficiente";"0"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"NI";"Basico";"0.0307692307692308"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"NI";"Proficiente";"0.00795755968169761"
"26 - Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?";"NI";"Avançado";"0.0223880597014925"
"27 - Seus pais ou responsáveis incentivam você a estudar?";"Sim.";"Insuficiente";"1"
"27 - Seus pais ou responsáveis incentivam você a estudar?";"Sim.";"Basico";"0.978461538461538"
"27 - Seus pais ou responsáveis incentivam você a estudar?";"Sim.";"Proficiente";"0.978779840848806"
"27 - Seus pais ou responsáveis incentivam você a estudar?";"Sim.";"Avançado";"0.962686567164179"
"27 - Seus pais ou responsáveis incentivam você a estudar?";"Não.";"Insuficiente";"0"
"27 - Seus pais ou responsáveis incentivam você a estudar?";"Não.";"Basico";"0.00307692307692308"
"27 - Seus pais ou responsáveis incentivam você a estudar?";"Não.";"Proficiente";"0.0159151193633952"
"27 - Seus pais ou responsáveis incentivam você a estudar?";"Não.";"Avançado";"0.0223880597014925"
"27 - Seus pais ou responsáveis incentivam você a estudar?";"NI";"Insuficiente";"0"
"27 - Seus pais ou responsáveis incentivam você a estudar?";"NI";"Basico";"0.0184615384615385"
"27 - Seus pais ou responsáveis incentivam você a estudar?";"NI";"Proficiente";"0.00530503978779841"
