"rules_a";"gera";"rules_b";"support";"confidence";"lift";"count"
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q054_alunos=A}";"=>";"{TX_RESP_Q028_alunos=A}";"0.5003663003663";"0.943370165745856";"1.06421510433314";683
"{TX_RESP_Q030_alunos=A},{TX_RESP_Q054_alunos=A}";"=>";"{TX_RESP_Q027_alunos=A}";"0.505494505494505";"0.973201692524683";"1.05597798910667";690
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q054_alunos=A}";"=>";"{TX_RESP_Q030_alunos=A}";"0.505494505494505";"0.953038674033149";"1.055923530889";690
"{TX_RESP_Q029_alunos=A},{TX_RESP_Q048_alunos=A}";"=>";"{TX_RESP_Q028_alunos=A}";"0.518681318681319";"0.96986301369863";"1.09410166421374";708
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q048_alunos=A}";"=>";"{TX_RESP_Q029_alunos=A}";"0.518681318681319";"0.96195652173913";"1.09513815861044";708
"{TX_RESP_Q029_alunos=A},{TX_RESP_Q048_alunos=A}";"=>";"{TX_RESP_Q030_alunos=A}";"0.517216117216117";"0.967123287671233";"1.07152864259029";706
"{TX_RESP_Q030_alunos=A},{TX_RESP_Q048_alunos=A}";"=>";"{TX_RESP_Q029_alunos=A}";"0.517216117216117";"0.950201884253028";"1.08175610676012";706
"{TX_RESP_Q029_alunos=A},{TX_RESP_Q048_alunos=A}";"=>";"{TX_RESP_Q027_alunos=A}";"0.52014652014652";"0.972602739726027";"1.05532809199207";710
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q048_alunos=A}";"=>";"{TX_RESP_Q029_alunos=A}";"0.52014652014652";"0.944148936170213";"1.07486513584015";710
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q048_alunos=A}";"=>";"{TX_RESP_Q030_alunos=A}";"0.521611721611722";"0.967391304347826";"1.07182559288538";712
"{TX_RESP_Q030_alunos=A},{TX_RESP_Q048_alunos=A}";"=>";"{TX_RESP_Q028_alunos=A}";"0.521611721611722";"0.958277254374159";"1.08103177869482";712
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q048_alunos=A}";"=>";"{TX_RESP_Q027_alunos=A}";"0.527472527472527";"0.978260869565217";"1.06146747770789";720
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q048_alunos=A}";"=>";"{TX_RESP_Q028_alunos=A}";"0.527472527472527";"0.957446808510638";"1.0800949534025";720
"{TX_RESP_Q030_alunos=A},{TX_RESP_Q048_alunos=A}";"=>";"{TX_RESP_Q027_alunos=A}";"0.52967032967033";"0.973082099596231";"1.05584822412469";723
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q048_alunos=A}";"=>";"{TX_RESP_Q030_alunos=A}";"0.52967032967033";"0.961436170212766";"1.06522757495164";723
"{TX_RESP_Q053_alunos=A},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q030_alunos=A}";"0.5003663003663";"0.929251700680272";"1.02956864564007";683
"{TX_RESP_Q030_alunos=A},{TX_RESP_Q053_alunos=A}";"=>";"{TX_RESP_Q055_alunos=A}";"0.5003663003663";"0.841133004926108";"1.08213624102181";683
"{TX_RESP_Q053_alunos=A},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q027_alunos=A}";"0.510622710622711";"0.948299319727891";"1.02895752895753";697
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q053_alunos=A}";"=>";"{TX_RESP_Q055_alunos=A}";"0.510622710622711";"0.841787439613527";"1.08297818574219";697
"{TX_RESP_Q029_alunos=A},{TX_RESP_Q053_alunos=A}";"=>";"{TX_RESP_Q028_alunos=A}";"0.563369963369963";"0.962453066332916";"1.08574250871441";769
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q053_alunos=A}";"=>";"{TX_RESP_Q029_alunos=A}";"0.563369963369963";"0.963659147869674";"1.09707651112769";769
"{TX_RESP_Q029_alunos=A},{TX_RESP_Q053_alunos=A}";"=>";"{TX_RESP_Q030_alunos=A}";"0.564835164835165";"0.964956195244055";"1.06912760268517";771
"{TX_RESP_Q030_alunos=A},{TX_RESP_Q053_alunos=A}";"=>";"{TX_RESP_Q029_alunos=A}";"0.564835164835165";"0.949507389162562";"1.08096545972218";771
"{TX_RESP_Q029_alunos=A},{TX_RESP_Q053_alunos=A}";"=>";"{TX_RESP_Q027_alunos=A}";"0.570695970695971";"0.974968710888611";"1.05789530235529";779
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q053_alunos=A}";"=>";"{TX_RESP_Q029_alunos=A}";"0.570695970695971";"0.940821256038647";"1.07107674269621";779
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q053_alunos=A}";"=>";"{TX_RESP_Q030_alunos=A}";"0.563369963369963";"0.963659147869674";"1.06769053315106";769
"{TX_RESP_Q030_alunos=A},{TX_RESP_Q053_alunos=A}";"=>";"{TX_RESP_Q028_alunos=A}";"0.563369963369963";"0.947044334975369";"1.06835993160445";769
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q053_alunos=A}";"=>";"{TX_RESP_Q027_alunos=A}";"0.570695970695971";"0.976190476190476";"1.05922098569157";779
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q053_alunos=A}";"=>";"{TX_RESP_Q028_alunos=A}";"0.570695970695971";"0.940821256038647";"1.06133968139897";779
"{TX_RESP_Q030_alunos=A},{TX_RESP_Q053_alunos=A}";"=>";"{TX_RESP_Q027_alunos=A}";"0.575824175824176";"0.967980295566502";"1.05031248286826";786
"{TX_RESP_Q027_alunos=A},{TX_RESP_Q053_alunos=A}";"=>";"{TX_RESP_Q030_alunos=A}";"0.575824175824176";"0.949275362318841";"1.05175395256917";786
"{TX_RESP_Q045_alunos=B},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q029_alunos=A}";"0.556043956043956";"0.903571428571429";"1.02866972477064";759
"{TX_RESP_Q045_alunos=B},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q028_alunos=A}";"0.56996336996337";"0.926190476190476";"1.0448347107438";778
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q045_alunos=B}";"=>";"{TX_RESP_Q055_alunos=A}";"0.56996336996337";"0.804550155118924";"1.03507159447439";778
"{TX_RESP_Q028_alunos=A},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q045_alunos=B}";"0.56996336996337";"0.802061855670103";"1.03872337095796";778
"{TX_RESP_Q045_alunos=B},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q030_alunos=A}";"0.580952380952381";"0.944047619047619";"1.04596185064935";793
"{TX_RESP_Q030_alunos=A},{TX_RESP_Q045_alunos=B}";"=>";"{TX_RESP_Q055_alunos=A}";"0.580952380952381";"0.806714140386572";"1.03785560945115";793
"{TX_RESP_Q030_alunos=A},{TX_RESP_Q055_alunos=A}";"=>";"{TX_RESP_Q045_alunos=B}";"0.580952380952381";"0.802631578947368";"1.03946120043943";793
